Brand No.,Horse Name,Date,Details,Passed On
,,20/09/2022,Unraced for 12 months.,08/11/2022
,,05/01/2023,Lame right front leg on the day after racing.,30/01/2023
,,01/03/2023,"Whilst in the barriers, lowered its head and became caught underneath the front gates. Then was fractious and made heavy contact with the front gates. Withdrawn from racing.",07/03/2023
G204,LUCKY EIGHT,30/04/2022,Lame left hind.,31/05/2022
,,26/02/2023,Unacceptable performance.,10/03/2023
G205,SIX BEST FRIENDS,16/11/2022,Substantial blood in trachea noted on post-race scoping.,08/12/2022
G206,STAR ASCENSION,27/09/2022,Unraced for 12 months.,30/09/2022
,,01/01/2023,Rider concerned horse's action during racing.,17/01/2023
,,06/03/2023,Medical treatment prior to vet re-examination on the day after racing.,-
G207,WE ARE HERO,14/10/2022,Lame right fore.,04/11/2022
G209,RISING FROM ASHES,06/07/2022,Was found to have an intermittent displacement of soft palate.,-
G211,EASY SNIP,22/05/2022,Substantial mucus in trachea noted on post-race scoping.,-
G217,LUCKY GOR,25/10/2022,Left fore tendon injury.,-
G218,MOON CATCHER,27/09/2022,Unraced for 12 months.,26/11/2022
,,07/10/2022,Failed vet exam: Heart irregularity noted after barrier trial.,26/11/2022
G220,BOOM ALLIANCE,08/05/2022,Noted lame right fore on the day after racing.,28/06/2022
G222,COMING PATCH,10/01/2023,Left fore tendon injury.,-
G223,ARIEL,02/10/2022,Unraced for 12 months.,21/10/2022
G224,CALIFORNIA REDWOOD,06/05/2022,Left fore ligament injury.,26/08/2022
,,05/11/2022,Heart irregularity noted during pre-race vet inspection.,22/11/2022
,,20/12/2022,Right fore tendon injury.,-
G230,CELTIC TIMES,02/05/2022,Lame left fore.,26/08/2022
G231,BEAUTY CHARGE,28/07/2022,Castration.,-
G232,BEAUTY NOVA,10/07/2022,Unacceptable performance.,11/10/2022
,,05/02/2023,Unacceptable performance. Substantial blood in trachea noted on post-race scoping.,21/02/2023
G233,CALL ME TEDDY,13/06/2022,Reported lame right hind on the day after racing.,03/07/2022
,,18/09/2022,Unacceptable performance.,07/10/2022
G239,PRIDE OF EIGHT,05/10/2022,Substantial mucus in trachea noted on post-race scoping. Lame right front leg on the day after racing. Update: Arthroscopic surgery to right front knee (bone fragment removal).,30/03/2023
,,10/10/2022,Castration.,-
G241,DREAM PURSUER,17/10/2022,Unraced for 12 months.,18/10/2022
G242,LE PLUS VITE,01/01/2023,Unacceptable performance. Rider also concerned horse's action during racing.,20/01/2023
G243,HAPPY MATADOR,04/05/2022,Heart irregularity noted after racing.,24/05/2022
,,14/06/2022,"Throat surgery to correct ""roaring"" condition (tieback and hobday).",02/09/2022
,,26/11/2022,Lame left fore.,-
,,09/01/2023,Failed vet exam: Lame left fore. Update: Left fore fetlock injury.,-
G247,SEE U AGAIN,05/07/2022,Lame right fore.,26/08/2022
G248,WIN WIN CHARITY,29/01/2023,Unacceptable performance.,23/02/2023
G249,HAPPY SOUL,22/05/2022,Substantial blood in trachea noted on post-race scoping.,26/08/2022
,,27/06/2022,Failed vet exam: Substantial blood on scope after barrier trial.,26/08/2022
,,11/01/2023,Substantial blood in trachea noted on post-race scoping.,10/02/2023
,,26/03/2023,Substantial blood in trachea noted on post-race scoping.,-
G251,SUPER JOY,18/10/2022,Unraced for 12 months.,20/10/2022
G253,STARRY NIGHT,28/05/2022,Fever.,15/08/2022
,,01/01/2023,Substantial blood in trachea noted on post-race scoping.,28/01/2023
G254,GOAL ORIENTED,18/10/2022,Unraced for 12 months.,08/11/2022
G255,BRILLIANT PIONEER,27/05/2022,Left fore radius stress injury.,22/09/2022
,,13/12/2022,Swollen right front tendon.,22/12/2022
G257,SMART FUTURE,27/10/2022,Unraced for 12 months.,04/11/2022
,,27/11/2022,Unacceptable performance.,-
G258,MAJESTIC KNIGHT,29/05/2022,Heart irregularity noted after racing.,24/10/2022
G261,SAVVY CHIC,25/05/2022,Lame right hind.,23/09/2022
G262,GLORY BO BO,12/05/2022,Castration.,-
,,01/10/2022,Substantial mucus in trachea noted on post-race scoping.,-
,,04/01/2023,Substantial blood in trachea noted on post-race scoping.,27/01/2023
G272,YOUNG HORIZON,16/11/2022,"After being loaded became fractious, reared and got its right front leg over into the adjoining stall. Withdrawn from race.",26/11/2022
G276,MASTER OF LUCK,08/06/2022,Reported lame left fore upon return to Sha Tin. Noted lame left fore on the day after racing.,01/09/2022
,,05/02/2023,Epiglottic entrapment.,30/03/2023
,,10/02/2023,Throat surgery to release epiglottic entrapment.,30/03/2023
G278,NOBLE ONE,22/05/2022,Unacceptable performance.,09/09/2022
G281,SMILING MOON,21/01/2023,Unacceptable performance.,23/02/2023
G283,COMPASSION SUPER,22/03/2023,Lame right hind.,-
G284,SEATOSKY,19/02/2023,Unacceptable performance.,-
G285,JAZZ CLUB,04/12/2022,Unacceptable performance.,19/12/2022
G286,FIVE G PATCH,09/06/2022,Right fore tendon injury.,14/09/2022
,,28/06/2022,Castration.,-
G287,GREAT BRILLIANT,23/11/2022,Unacceptable performance.,30/12/2022
,,17/01/2023,Bled from both nostrils after barrier trial.,28/03/2023
G290,BLUSTITCH,18/01/2023,Substantial blood in trachea noted on post-race scoping.,21/02/2023
G292,OUR LUCKY GLORY,18/01/2023,Castration.,-
G295,CLASSIC ARCHI,09/10/2022,Unacceptable performance.,27/10/2022
,,10/12/2022,Colic.,19/12/2022
G296,EMERGING,29/05/2022,Post-race heat stress. Reported lame right fore on the day after racing.,13/12/2022
,,15/08/2022,Fractured withers.,13/12/2022
G298,KEEN UNITY,21/04/2022,Castration.,-
,,08/01/2023,Unacceptable performance and abnormal breathing noise reported during racing. Lame left hind leg on the day after racing.,10/02/2023
G299,SNAFFLES,17/06/2022,Castration.,-
,,19/03/2023,Bled from both nostrils and also found to be lame in its right front leg after racing.,-
G302,SECRET VISION,15/03/2023,Substantial blood in trachea noted on post-race scoping.,-
G307,PRINCE ALEX,14/07/2022,Castration.,-
,,05/03/2023,Substantial mucus in trachea noted on post-race scoping.,-
G308,YOUNG LIFE FOREVER,22/02/2023,Substantial blood in trachea noted on post-race scoping.,05/04/2023
G310,TELECOM SPIRIT,23/11/2022,Bled from both nostrils after racing.,28/02/2023
G311,DRAGON ADMIRAL,26/05/2022,Lame right fore. Update: Right fore fetlock injury.,27/09/2022
,,31/03/2023,Left front tendon injury. Withdrawn from racing.,-
G312,KASA PAPA,09/10/2022,Substantial mucus in trachea noted on post-race scoping.,-
,,06/02/2023,Right humeral bone injury.,-
G313,RUNNING AHEAD,22/05/2022,Substantial blood in trachea noted on post-race scoping.,07/06/2022
,,08/01/2023,Lame right front leg.,09/03/2023
G315,HONG KONG HALL,30/09/2022,Castration.,-
,,20/12/2022,Unraced for 12 months.,23/12/2022
G316,FORTUNE TURBO,27/11/2022,Unacceptable performance.,19/12/2022
,,01/01/2023,Unacceptable performance.,30/01/2023
G318,STAND UP,12/02/2023,Unacceptable performance. Substantial blood in trachea noted on post-race scoping.,-
,,16/03/2023,Bled from both nostrils after barrier trial.,-
G319,SUPER SUNNY SING,22/05/2022,"After being loaded reared abruptly, struck its head on the overhead bar, then continued to be very fractious and momentarily got down behind.",13/06/2022
G326,YELLOWFIN,25/03/2023,Lame left hind. Withdrawn from racing.,04/04/2023
G331,SINGAPORE SUNSHINE,28/06/2022,Castration.,-
G332,DORADO FIG,19/04/2022,Castration.,-
,,06/11/2022,Unacceptable performance. Substantial blood in trachea noted on post-race scoping.,-
,,13/12/2022,Bled from both nostrils after barrier trial.,-
,,21/03/2023,Failed vet exam: Substantial blood on scope after barrier trial.,-
G333,CAPITAL LEGEND,25/04/2022,Left fore suspensory ligament injury.,20/10/2022
G336,DEAR SIBLING,28/05/2022,Heart irregularity noted during pre-race vet inspection.,18/10/2022
,,17/06/2022,Bled from both nostrils after trackwork.,18/10/2022
G337,GLOBAL HARMONY,17/07/2022,Noted lame right hind on the day after racing.,20/09/2022
,,24/01/2023,Heart irregularity noted after racing. Lame in both hind legs on the day after racing.,-
,,05/02/2023,Right fore humerus bone injury.,-
G339,CHILLI BABA,05/02/2023,Unacceptable performance.,16/03/2023
G340,YOUTHFUL DEAL,25/09/2022,Unacceptable performance.,11/10/2022
G341,DASHING TRIUMPH,03/09/2022,Rider concerned with horse's action after finishing its barrier trial.,12/09/2022
G344,PLENTY PLENTY,23/11/2022,Unacceptable performance. Substantial mucus in trachea noted on post-race scoping.,19/12/2022
,,31/01/2023,Lame left fore. Withdrawn from racing.,17/02/2023
,,15/03/2023,Substantial mucus in trachea noted on post-race scoping.,-
G345,TUCHEL,15/10/2022,Lame right hind.,09/12/2022
G348,BIG ME,18/11/2022,Right fore tendon injury.,-
G350,GOLDEN WARSTEED,18/09/2022,Unacceptable performance.,14/10/2022
G352,MODEST GENTLEMAN,29/01/2023,"On arrival at the saddling stalls, was found to have sustained an abrasion to the right front leg. Withdrawn from racing.",09/02/2023
G357,NABOO LEGEND,01/10/2022,Substantial blood in trachea noted on post-race scoping.,04/11/2022
,,28/12/2022,Inappetence. Withdrawn from racing.,06/01/2023
G358,ROUND THE EARTH,11/12/2022,Heart irregularity noted after racing.,20/01/2023
G359,FOREST GOLD,15/06/2022,Left fore pedal bone injury.,24/03/2023
,,22/02/2023,Unraced for 12 months.,24/03/2023
G360,UNIVERSAL HORIZON,01/11/2022,Castration.,-
G361,ALWAYS BEAUTIFUL,27/11/2022,Bled from both nostrils after racing.,20/03/2023
G362,WONDERFUL UNICORN,12/11/2022,Unacceptable performance.,02/12/2022
G364,SUPER BABY,13/10/2022,Lame left hind.,08/11/2022
G365,DANCING CODE,07/07/2022,Lame left fore.,30/09/2022
,,17/02/2023,Unraced for 12 months.,18/02/2023
,,22/03/2023,Fever.,-
G371,LA CITY BLANCHE,13/07/2022,Castration.,-
,,02/04/2023,Substantial mucus in trachea noted on post-race scoping.,-
G374,D STAR,15/07/2022,Castration.,-
G375,CHILL WAY,01/04/2023,Lame left fore. Withdrawn from racing.,-
G381,ASCENDANT,23/09/2022,Right fore tendon injury.,-
,,22/03/2023,Unraced for 12 months.,-
G382,MACH TEN,23/10/2022,Substantial blood in trachea noted on post-race scoping.,10/11/2022
,,06/03/2023,Left fore tendon injury.,-
G383,ROBOT SAMURAI,23/09/2022,Right fore tendon injury.,-
,,22/03/2023,Unraced for 12 months.,-
G385,MASTER AGILITY,22/03/2023,Unraced for 12 months.,-
G386,IRON WILL,15/03/2023,Unacceptable performance.,28/03/2023
G388,PRINCE CHISWICK,22/03/2023,Unraced for 12 months.,-
G390,PACKING MONKEYKING,09/10/2022,Unacceptable performance.,28/10/2022
G393,A PAL,15/01/2023,Bled from both nostrils after racing.,-
G395,DRAGON DELIGHT,16/11/2022,Heart irregularity noted after racing.,08/12/2022
G396,NOT USUAL STAR,25/05/2022,Left fore fetlock injury.,28/10/2022
G400,PLENTIFUL,25/04/2022,Castration.,-
,,07/02/2023,Fractious in the barriers and got its right front leg over the partition. Withdrawn from barrier trial.,14/02/2023
G402,LEAN HERO,13/03/2023,Inappetence and coughing.,27/03/2023
,,04/04/2023,Throat surgery to correct an airway abnormality (release epiglottic entrapment).,-
G406,LAUGH TALE,16/05/2022,Both fore tendon injury.,09/02/2023
,,07/03/2023,Lame right hind.,31/03/2023
,,26/03/2023,Unraced for 12 months.,31/03/2023
G409,DINKUM,01/03/2023,Substantial blood in trachea noted on post-race scoping.,16/03/2023
G411,BAYVIEW STAR,31/05/2022,Castration.,-
G413,HIGH PERCENTAGE,15/11/2022,Castration.,-
G414,BEAT HOLLOW,01/01/2023,Substantial mucus in trachea noted on post-race scoping.,-
G418,NOBLE ACE,16/10/2022,Rider concerned horse's action during racing.,25/10/2022
G420,WINNING STEPS,02/04/2023,Unacceptable performance.,-
G424,DARING PURSUIT,05/02/2023,Lame left fore. Withdrawn from racing.,13/02/2023
,,01/03/2023,Left fore suspensory ligament injury.,-
G428,LIGHTNING WARRIOR,21/10/2022,Left fore tendon injury.,-
G432,GOODBAN BANBANBANG,19/07/2022,Castration.,-
,,10/03/2023,Right hind suspensory ligament injury.,-
G433,NORDIC STAR,06/07/2022,Castration.,-
G435,STRAIGHT ARRON,27/09/2022,Right fore cannon bone injury.,09/12/2022
G439,GENEROUS FRIEND,15/01/2023,Unacceptable performance.,13/02/2023
G442,BULB DRAGON,05/02/2023,Unacceptable performance.,16/02/2023
G443,DEVIL AND GOLD,07/01/2023,Heart irregularity noted during pre-race vet inspection. Withdrawn from racing.,28/01/2023
G444,FOUR ACES,13/01/2023,Right fore ligament injury.,-
G449,BON'S A PEARLA,05/09/2022,Lame left hind foot.,27/10/2022
G454,LAW PARTY,26/10/2022,Right fore tendon injury.,-
G455,WONDER KIT,01/01/2023,"When proceeding to the barriers, collided with another runner. Withdrawn from racing.",06/01/2023
G456,SUPER FAST DRAGON,31/01/2023,Left tibial bone injury.,-
G459,INNOCONSTRUCTION,11/03/2023,Unacceptable performance and substantial mucus in trachea noted on post-race scoping.,30/03/2023
G462,RELIABLE PROFIT,06/02/2023,Right hind bone injury.,-
G464,CALL ME MIGHTY,05/03/2023,"Whilst entering the track, reared and fell over. Withdrawn from racing.",05/04/2023
G468,CIRCUIT ELEVEN,28/11/2022,Right front tendon injury.,-
G469,CALL ME DANDY,12/02/2023,Substantial blood in trachea noted on post-race scoping.,02/03/2023
G473,DINOSAUR BOY,27/02/2023,Lame left fore.,14/03/2023
,,22/03/2023,Abnormal breathing noise reported during racing and rider was also concerned horse's action. Substantial mucus in trachea noted on post-race scoping. Lame left front leg on the day after racing.,03/04/2023
G474,MASTER OF FORTUNE,11/12/2022,Bled from left nostril after racing.,02/03/2023
G475,SUPER WISE DRAGON,29/03/2023,Throat surgery to correct a airway abnormality (tieback and hobday).,-
G478,LUCKY ETERNITY,18/08/2022,Colic surgery.,19/12/2022
H002,PANDA LEGEND,12/09/2022,Lame left hind.,16/01/2023
,,28/02/2023,Lame left fore.,-
H003,DOCUMENTARY,07/09/2022,Left fore tendon injury.,-
H005,PACKING GOODSING,05/11/2022,Lame right fore. Update: Right front ligament injury.,-
H007,ALLGREEKTOME,24/12/2022,Substantial mucus in trachea noted on post-race scoping.,-
H008,BEAUTY ETERNAL,27/11/2022,Lame right fore.,16/12/2022
,,01/01/2023,"On entering the track, dislodged rider and collided with another runner. Also sustained a small wound to the right front heel. Withdrawn from racing.",10/01/2023
H010,MR FUN,01/02/2023,Unacceptable performance.,-
H011,COOL BLUE,11/01/2023,Unacceptable performance.,07/02/2023
H021,HUGE WIN,18/12/2022,Substantial mucus in trachea noted on post-race scoping.,-
,,19/02/2023,Substantial blood in trachea noted on post-race scoping.,17/03/2023
H027,STRONGEST BOY,16/02/2023,Castration.,-
H028,KA YING WARRIOR,27/11/2022,Swollen right fore.,06/12/2022
,,18/12/2022,Unacceptable performance. Rider also concerned horse's action during racing.,31/03/2023
H031,SOO FRESH,08/12/2022,Left fore foot and pastern bone injuries.,-
H041,FUN TOGETHER,21/12/2022,Substantial mucus in trachea noted on post-race scoping.,-
H042,TIER GOODY,15/03/2023,Castration.,-
H050,HAPPY MISSION,10/11/2022,Heat stress after finishing barrier trial.,08/12/2022
H052,PUBLICIST,05/02/2023,Whilst parading behind the barriers was kicked in the girth area. Withdrawn from racing.,16/02/2023
H053,YOO YOO KNIGHT,28/10/2022,Sustained head wound when broke through the gates at barrier trial.,11/11/2022
,,25/03/2023,Lame left fore. Withdrawn from racing.,-
H057,SAME TO YOU,28/10/2022,Right front cannon bone injury.,31/03/2023
H060,DRAGON'S LUCK,11/03/2023,Bled from both nostrils after racing.,-
H062,SWAN BAY,20/02/2023,Castration.,-
H072,G LINER,21/08/2022,Colic surgery.,22/12/2022
H075,BEAUTYVERSE,27/11/2022,Unacceptable performance.,13/12/2022
,,26/02/2023,Unacceptable performance.,10/03/2023
H076,ACE VICTORY,10/01/2023,Lame left fore.,-
H078,BLUE MARLIN,24/09/2022,Head injury.,06/12/2022
H084,JUNEAU FLASH,11/03/2023,Unacceptable performance.,31/03/2023
H086,GOLDEN EXPRESS,04/02/2023,Lame right fore. Withdrawn from racing.,23/02/2023
H097,SPEEDY FORTUNE,26/08/2022,Castration.,-
H099,ELITE KAKA,28/10/2022,Lame left fore.,-
,,20/02/2023,Left fore humeral bone injury.,-
H100,GOLDEN TITLE,09/03/2023,Lame right fore.,-
H102,MAGIC TRAVELLER,06/02/2023,Castration.,-
H104,PACHISI,15/03/2023,"Rider concerned horse's action during racing and also found to be a ""roarer"".",-
H105,ROARING BEBE,06/12/2022,Lame right hind.,07/02/2023
,,29/03/2023,Lame right hind leg after racing.,-
H108,SPEEDY SMARTIE,05/12/2022,Castration.,-
H109,CHILL CHIBI,01/02/2023,Lame right hind leg.,-
,,14/02/2023,Failed vet exam: Lame right hind leg.,-
,,09/03/2023,Failed vet exam: Lame right hind leg.,-
H111,THESIS,16/03/2023,Castration.,-
H119,GREAT DAYS,14/10/2022,Castration.,-
H120,PERFECT TEAM,19/03/2023,Substantial blood in trachea noted on post-race scoping.,-
H122,TOURBILLON PRINCE,08/01/2023,Abnormal breathing noise noted after racing and was subsequently found to be a roarer.,-
,,18/01/2023,Throat surgery (hobday).,-
,,20/03/2023,Right fore cannon bone stress injury.,-
H125,HUMBLE STAR,29/03/2023,Substantial blood in trachea noted on post-race scoping.,-
H129,BULB TYCOON,19/02/2023,Substantial mucus in trachea noted on post-race scoping.,-
H131,VANQUISHER,21/01/2023,Heart irregularity noted after racing.,16/03/2023
H132,AMAZING TRAVIS,10/10/2022,Castration.,-
H134,LEAN MASTER,16/03/2023,Castration.,-
H138,SHOW RESPECT,05/02/2023,"After being loaded into the barriers, reared and struck its head against the overhead structure, and momentarily got its right front leg over the barrier partition. Withdrawn from racing.",21/02/2023
,,06/02/2023,Castration.,-
H156,COSMO NAVIGATOR,13/03/2023,Lame right front leg after racing.,-
H157,FURTHER FORWARD,12/10/2022,Castration.,-
,,30/03/2023,Right fore tendon injury.,-
H159,GOLDEN LUCK,05/10/2022,Castration.,-
H165,TURIN MASCOT,22/03/2023,Colic.,30/03/2023
H169,KA YING POWER,17/11/2022,Castration.,-
H172,NISHIKADO,11/01/2023,Lame left fore.,04/04/2023
H174,NOTORIOUS KING,08/12/2022,Right hind cannon bone injury.,-
H176,LASER VICTORY,11/03/2023,Unacceptable performance. Rider also concerned horse's action during racing. Lame right front leg on the day after racing.,-
H183,UNITED WARRIORS,07/02/2023,Lame left fore.,-
H184,THE FINAL WORD,25/12/2022,Right hind tibial stress injury.,-
H187,EVER BLESSING,20/01/2023,Lung infection.,02/03/2023
H190,SPLENDID FEELING,20/03/2023,Lame left fore. Withdrawn from racing. Update: Left fore ligament injury.,-
,,03/04/2023,Left fore fetlock injury.,-
H191,SHABU WIN WIN,11/12/2022,Left fore tendon injury.,-
H202,FURY AND GOLD,06/12/2022,Lame right fore.,-
H211,MANAGEMENT HEART,13/02/2023,Castration.,-
H212,CHANCHENG GLORY,27/01/2023,Castration.,-
H214,CHATEAU,23/11/2022,Castration.,-
H225,IMPERIAL GOODNESS,19/12/2022,Lame right fore.,09/02/2023
,,06/03/2023,Lame right fore.,-
H229,FORTUNE WARRIOR,19/03/2023,Rider concerned horse's action during racing. Substantial mucus in trachea noted on post-race scoping.,-
H235,LUCKY PLANET,21/12/2022,Castration.,-
H243,SKY DO,22/03/2023,Lame right fore.,-
H249,ART LITE,10/01/2023,Fractious in the barriers and sustained a head injury. Withdrawn from barrier trial.,07/02/2023
H251,SUPER CONTENTED,14/02/2023,Lame right fore.,10/03/2023
H269,THRILL'S BROTHERS,16/03/2023,Bled from left nostril after barrier trial.,-
H305,H305,03/03/2023,Right fore fetlock injury.,-
H321,H321,23/02/2023,Right fore humerus bone injury.,-
H325,NEW POWER,18/03/2023,Lame left fore.,-
H336,ENFOLDED,24/03/2023,Lame right hind.,-
